,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,ADDRESS,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,lat,lng,pca_x,pca_y,cluster
5881,Brooklyn,Sunset Park,14 RENTALS - 4-10 UNIT                     ,2B,856,7,S9,5803 5TH AVENUE,11220,6,2,8,2667,6707,1931,2,S9,2370000,40.64046628,-74.01509882,2.7343828456899857,0.042045360816654005,8
2268,Brooklyn,Bedford Stuyvesant,02 TWO FAMILY DWELLINGS                    ,1,1674,71,B3,165 DECATUR STREET,11233,2,0,2,2000,2796,1899,1,B3,533333,40.68106643,-73.93690359,-2.9989834783391496,-0.3667164607350476,3
1647,Bronx,Schuylerville/Pelham Bay,03 THREE FAMILY DWELLINGS                  ,1,5347,65,C0,1301 BALCOM AVENUE,10461,3,0,3,1694,3068,1920,1,C0,665000,40.83592197,-73.83648000000002,-2.011415493755185,-0.9966377409895444,6
3994,Brooklyn,Cypress Hills,02 TWO FAMILY DWELLINGS                    ,1,4117,11,B2,121 EUCLID AVENUE,11208,2,0,2,2000,3000,1920,1,B2,413250,40.68565827,-73.87471943,-2.9826688171912585,-0.3233629537364405,5
666,Manhattan,Upper East Side (79-96),08 RENTALS - ELEVATOR APARTMENTS           ,2,1522,158,D7,1442 LEXINGTON AVENUE,10128,16,1,17,2562,15596,1920,2,D7,15800000,40.78447707,-73.95199721,16.535335115315846,1.4364117051442395,3
6686,Queens,Fresh Meadows,01 ONE FAMILY DWELLINGS                    ,1,7150,37,A5,69-61 197TH STREET,11365,1,0,1,1680,1925,1945,1,A5,650000,40.73579885,-73.77521294,-4.2711173015830735,-0.3080494951793646,7
917,Bronx,Bedford Park/Norwood,03 THREE FAMILY DWELLINGS                  ,1,3322,44,C0,3165 VILLA AVENUE,10468,3,0,3,2167,2772,1930,1,C0,600000,40.87609399,-73.88713138,-1.954359475907216,-0.7027099280594935,0
2405,Brooklyn,Bedford Stuyvesant,02 TWO FAMILY DWELLINGS                    ,1,1928,67,S2,986 BEDFORD AVENUE,11205,2,1,3,1667,2132,1960,1,S2,1030000,40.69121816,-73.95549559999998,-2.975848809117708,-0.5678447677123658,8
3111,Brooklyn,Brooklyn Heights,07 RENTALS - WALKUP APARTMENTS             ,2B,238,31,C1,16 MONROE PLACE,11201,10,0,10,2500,9450,1900,2,C1,6600000,40.69663065,-73.99235902,7.49964535199448,-0.2381245233946908,3
2695,Brooklyn,Bensonhurst,02 TWO FAMILY DWELLINGS                    ,1,6224,7,S2,7501 15TH AVENUE,11228,2,1,3,1497,2600,1931,1,S2,980000,40.61747969,-74.00311976,-2.9178080001211835,-0.6073800121071573,11
7368,Queens,St. Albans,22 STORE BUILDINGS                         ,4,10438,23,K2,111-12 FARMERS BOULEVARD,11412,0,1,1,2190,3090,1931,4,K2,400000,40.70160408,-73.76532309999997,-4.643439039869019,0.9752618532071686,2
1032,Bronx,Castle Hill/Unionport,03 THREE FAMILY DWELLINGS                  ,1,3791,21,C0,1956 POWELL AVENUE,10472,3,0,3,2575,2700,1930,1,C0,655000,40.83008662,-73.85890882,-1.8570946086032456,-0.3697831065203429,5
4576,Brooklyn,Flatbush-East,03 THREE FAMILY DWELLINGS                  ,1,7724,70,C0,1662 ALBANY AVENUE,11210,3,0,3,3000,3432,1988,1,C0,535000,40.63279195,-73.93709735,-1.6466980539461793,0.2187196125706879,2
1399,Bronx,Morrisania/Longwood,03 THREE FAMILY DWELLINGS                  ,1,2661,18,C0,1126 FOREST AVENUE,10456,3,0,3,2090,2850,1920,1,C0,330000,40.82760891,-73.90226211,-2.0045000719176937,-0.8331634737463313,5
6876,Queens,Jamaica,33 EDUCATIONAL FACILITIES                  ,4,9757,42,W4,90-34 161 ST,11432,0,2,2,1700,8560,1931,4,W4,2200000,40.70446025,-73.79888032,-2.9710251456848757,2.847628098926253,7
